SN,SMT ID,IMIS ID,"New LAC 
 [ After De-limitation ]","Block
 [ After Delimitation ]",GP,Type,Scheme Type,Name of Scheme,SO NAME,Contractor Name,FHTC Target as per TS / DPR,FHTC Achieved,Sub-Division,"Work Status 
[ as per JJM Brain as on 10-08-2026 ]","Operational Status as per JJM Brain 
[ as on 10-08-2026 ]",PWSS Operational Status as per FIELD,"Work will be resolve / done by
[ For Partially or Non Operative PWSS ]","Estimate Prepared or Not
[ For Partially or Non Operative PWSS ]","Whether AA Accorded
[ For Partially or Non Operative PWSS ]","Work Allotted or Not
[ For Partially or Non Operative PWSS ]",Estimate Amount [ in Rs. ],If Work Allotted - Name of the Contractor,Work Status for making the PWSS functional [ Not Started / Ongoing / Halted / Completed ],Remarks,Specific Reason from JJM Brain / Issue,Tariff Collection,Issue will Resolve by / Action Taken,"Physical progress (in %) as per IMIS
 [ 30-06-2026 ]",Estimate provided under SOPD,"Estimate Amount to SOPD
 [ in Rs ]"
194,14904,30191526,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,DIRAKMUKH N.C. PWSS,AYANJYOTI,Lalon Kr. Moran,220,200,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,30,,
195,14242,30014059,SADIYA,SAIKHOWA,GAKHIRBHETI,NEW,NON TEA GARDEN,GAKHIR BHETI PWSS,KRISHNA KAMAL,M/s S.B. Enterprises,268,260,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,90274,guna moran,Ongoing,,,Tariff Collection: NO,,100,,
196,15070,30193006,SADIYA,SAIKHOWA,NA BORMURA,NEW,NON TEA GARDEN,GOHAIN GAON NO 1 PWSS,AYANJYOTI,Nortech Power Projects Pvt. Ltd.,122,122,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
197,14906,30193306,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,HAHKHATI FOREST PWSS,AYANJYOTI,M/S R R PROJECTS (PROP. RAJA LINGI),224,197,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: YES,,100,,
198,14796,30078374,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,HAHKHATI T.E. GT.NO.1 PART 1 PWSS,AYANJYOTI,M/S SIGNAGE INDIA,279,200,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
199,14248,30012356,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,HAHKHATI T.E. GT.NO.2 PART 1 PWSS,AYANJYOTI,Vinay Bhardwaj,412,412,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,YES,,YES,96060,RUPOM,Halted,,Leakage in Distribution Line,Tariff Collection: NO,,100,,
200,14399,30004156,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,HALUA PATHER PWSS,AYANJYOTI,SUBHASH GIRI,322,358,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: YES,Estimated Submitted to P&RD - Work Ongoing,100,,
201,15073,30196006,SADIYA,SAIKHOWA,NA BORMURA,NEW,NON TEA GARDEN,HATIGHULI NC PWSS,AYANJYOTI,Nortech Power Projects Pvt. Ltd.,224,186,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
202,14412,30012935,SADIYA,SAIKHOWA,NA BORMURA,NEW,NON TEA GARDEN,KAPAHTOLI PWSS,AYANJYOTI,Prince Jaiswal,321,255,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
203,15142,30192664,SADIYA,SAIKHOWA,SAIKHOWA,NEW,NON TEA GARDEN,KHUTIPATHER NO.1 PWSS,AYANJYOTI,M/S G.D. Construction,246,245,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,Estimates under Prepration to SOPD,100,,
204,15222,30192715,SADIYA,SAIKHOWA,SAIKHOWA,NEW,NON TEA GARDEN,KHUTIPATHER NO.3 PWSS,AYANJYOTI,Bijendra Sah,113,100,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
205,14887,30193514,SADIYA,SAIKHOWA,GAKHIRBHETI,NEW,NON TEA GARDEN,LAINA GAON NO 1 PWSS,KRISHNA KAMAL,M/S O.G. Enterprises,129,0,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,Estimate Under Prepration in Division and will be sent to P&RD,100,,
206,15697,30004271,SADIYA,SAIKHOWA,GAKHIRBHETI,NEW,TEA GARDEN SCHEME,LAINA T.E.51 NLR PWSS,KRISHNA KAMAL,Sri Swadip Gohain,360,360,TINSUKIA,HANDED_OVER,OPERATIVE,Partially Operative,P&RD - 15 FC,YES,YES,YES,97838,Lambit Deka,Ongoing,,,Tariff Collection: NO,,49,,
207,14922,30193924,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,LAWPANI N.C. PWSS,AYANJYOTI,M/S R R PROJECTS (PROP. RAJA LINGI),163,153,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,60,,
208,14892,30201969,SADIYA,SAIKHOWA,GAKHIRBHETI,NEW,NON TEA GARDEN,MISIMIKOTA NO.1 PWSS,KRISHNA KAMAL,Nortech Power Projects Pvt. Ltd.,137,137,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,0,,
209,14243,30005598,SADIYA,SAIKHOWA,GAKHIRBHETI,NEW,NON TEA GARDEN,MISIMIKOTA NO.2 PWSS,KRISHNA KAMAL,M/S M.P. Agarwalla,228,225,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,100,,
210,15084,30202621,SADIYA,SAIKHOWA,NA BORMURA,NEW,NON TEA GARDEN,NA BORMURA 1 PWSS,AYANJYOTI,Nortech Power Projects Pvt. Ltd.,102,102,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,100,,
211,15098,30202663,SADIYA,SAIKHOWA,NA BORMURA,NEW,NON TEA GARDEN,NA-BORMURA N.C.NO.3 PWSS,AYANJYOTI,M/S O.G. Enterprises,149,128,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,90,,
212,14244,30011489,SADIYA,SAIKHOWA,GAKHIRBHETI,NEW,NON TEA GARDEN,NAGAON DHULIJAN PWSS,KRISHNA KAMAL,M/S SAI ENTERPRISE,309,316,TINSUKIA,COMPLETED,NON_OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,37,,
213,14875,30216226,SADIYA,SAIKHOWA,DHOLA DHADUM,NEW,NON TEA GARDEN,NEPALI CHIRING 1 PWSS,AYANJYOTI,Plaban Das,153,152,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,54,,
214,14413,30024509,SADIYA,SAIKHOWA,SAIKHOWA,NEW,TEA GARDEN SCHEME,NO.1 DHOLA BAGAN PWSS,AYANJYOTI,Sri Swadip Gohain,532,408,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,51,,
215,14818,30147307,SADIYA,SAIKHOWA,SAIKHOWA,NEW,NON TEA GARDEN,NO.2 DHOLA BAGAN PWSS,AYANJYOTI,Swapan Das,133,92,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,51,,
216,15121,30196546,SADIYA,SAIKHOWA,NA BORMURA,NEW,NON TEA GARDEN,PHELAI GAON PWSS,AYANJYOTI,Nortech Power Projects Pvt. Ltd.,175,175,TINSUKIA,HANDED_OVER,PARTIALLY_OPERATIVE,Partially Operative,P&RD - 15 FC,NO,,,,,,,Pipeline damage (other third parties),Tariff Collection: NO,,46,,
217,14414,30010865,SADIYA,SAIKHOWA,SAIKHOWA,NEW,NON TEA GARDEN,SAIKHOWA PWSS,AYANJYOTI,M/S G.D. Construction,316,248,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,Estimates Already send under SOPD to HQ,100,YES,764189
218,14897,30181647,SADIYA,SAIKHOWA,GAKHIRBHETI,NEW,NON TEA GARDEN,SAMAGURI HABI GAON PWSS,KRISHNA KAMAL,M/S O.G. Enterprises,166,104,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,29,,
219,14884,30183356,SADIYA,SAIKHOWA,DHOLA DHADUM,NEW,NON TEA GARDEN,SINGSI GAON PWSS,AYANJYOTI,M/S AQUA CLEAN SOLUTION,82,82,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,62,,
220,15236,30183500,SADIYA,SAIKHOWA,SAIKHOWA,NEW,NON TEA GARDEN,BHUBAN KHAL PT 2 PWSS ( TALAP 36 FS ),AYANJYOTI,Bijendra Sah,101,144,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,43,,
221,14400,30019942,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,TENGA PANI N.C. PWSS,AYANJYOTI,PRABHASH KUMAR SINGH,784,494,TINSUKIA,ONGOING,,Non Operative,,,,,,,,,,Tariff Collection: NO,,65,,
222,14245,30012361,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,UPAR SISINI PWSS,AYANJYOTI,Vinay Bhardwaj,280,240,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,80,,
223,14934,30083406,SADIYA,SAIKHOWA,HAHKHATI,NEW,NON TEA GARDEN,UPPERLAUPANI NC 1 PWSS,AYANJYOTI,Bijendra Sah,251,215,TINSUKIA,HANDED_OVER,OPERATIVE,,,,,,,,,,,Tariff Collection: NO,,54,,
